Query,Relevance,Completeness,Faithfulness,Answer
How long is the course?,Low,Complete,Unfaithful,Question: How long is the course?Context: Q: What is the curriculum? Q: Which is the textbook for the course. Q: Who is the instructor? Q. What is a course duration?
What are the prerequisites?,Low,Complete,Faithful,"Question: What are the prerequisites?Context: Q: Are there any prerequisites for the course? A: Yes, office hours are held weekly on Zoom, scheduled via the course portal. Q: What do you need to know? Q: No prerequisites. A: No questions.Q. Q.: Are there office hours?"
How are assignments graded?,High,Complete,Faithful,"Question: How are assignments graded?Context: Q: The course lasts 12 weeks, with weekly lectures and assignments. A: Assignments are graded based on correctness, clarity, and timeliness, with a rubric provided. Q: What is the duration of the course? A: 12 weeks."
Is there a final exam?,High,Complete,Faithful,"Context: Q: Is there a final exam? A: Yes, a comprehensive final exam is held in the last week. Q: Are there office hours?Context: A: No, office hours are held weekly on Zoom, scheduled via the course portal.Q: Are office hours held weekly? Context: Yes.Question: Has there been a final?Context? Yes."
Can I audit the course?,High,Complete,Unfaithful,Question: Can I audit the course?Context: Q: What is the course title? Q: Who is the instructor of the course
What is the attendance policy?,High,Complete,Faithful,"Context: Q: What is the attendance policy? A: Attendance is mandatory for 80% of lectures to receive full participation marks. A: Yes, office hours are held weekly on Zoom, scheduled via the course portal. Q: Is there an attendance policy for the course? Yes, there is.Context:"
Are lecture recordings available?,High,Complete,Faithful,"Context: Q: Are lecture recordings available? A: Yes, recordings are available on the course portal within 24 hours.Question: Are office hours available? Q: Office hours are not available on Zoom, but are available via the course portals. A: No, office hours are held weekly on Zoom.Context:"
How do I contact the instructor?,High,Complete,Faithful,"Question: How do I contact the instructor?Context: Q: What grades are given? A: Auditing is allowed with instructor permission, but no grades were given. Q: How should I contact you. A: Email the instructor at course@example.com or use the course forum.Context:"
What is the textbook?,Low,Complete,Faithful,"Context: Q: What is the textbook for the course? A: The recommended textbook is ""Introduction to AI"" by J. Doe. A: Yes, office hours are held weekly on Zoom, scheduled via the course portal. Q: When are the office hours? Q: Tuesdays and Thursdays, 9:30am-4:30pm.Question: What are the textbook?"
Are there office hours?,High,Complete,Faithful,"Context: Q: Are there office hours? A: Yes, office hours are held weekly on Zoom, scheduled via the course portal. Q: Is there a recording option? A. Yes, recordings are available on the course web portal within 24 hours. Q. Is there an audio option? Yes.Question: Have you..."
